Review,Rating
"check room, wife just returned spending 3 nights stay honeymoon italy, say understand hotels standards florence vary not 4 star hotel, starting depends hotel stay, room old smelly need updating, room better ear plugs staff unhelpful fact guy checked not going change room got did, honeymoon knew, think hotel fully booked knew bad room breakfast unless manage 5 tables windows sit dark room windows curtains kept closed, stay ca n't,  ",2
"avoid hotel preface let say husband extensive traveller platinum member intercontinental hotels years, really likes service holiday inn express hotels, said choose hotel closness train going downtown car.the desk staff 2 exceptions horrible, check people ahead greeted curt no rooms available yet-comeback 3 1 pm, turn got line-dh just wanted store luggage bikes state fair.so lady checks reservation realizes dh like said travels extensively just falls apologize sudden room right, nice not nice travellers, floor ghost town confirming suspicions desk just did n't want tocheck early.the night went bar bartender informed quite rudely wine available did n't keys cooler, felt interrupting watching game people there.they security rides lot 24/7 golf cart hotel backs iffy area, did ride gain access bike trail ok not faint heart night.we did n't receive maid service second day went 3 asked.today icing cake, dh asked extended check conference wo n't 2. does n't does hotel n't busy believe n't graciousand allow, guy desk morning rude arrogant till 1 absolutely it.we stayed downtown-next time, rooms outdated ac iffy, room smelled mildew,  ",2
"pig lipstick wife 15,000 piece jewlry stolen room, staff not helpful rude need say more.i not recommend property, beautiful comes steep cost considering theft.a pig dressed lipstick pig,  ",2
"treated like royalty, took girlfriend hotel bel air couple day valentine day week, time arrived driveway check treated hollywood royalty, not necessarily paying greatest room la instead paying best service grounds u.s., checking car service hired pick conveniently left stranded not 5 minutes waiting picked conceirge arranged picked car leaving wanted make sure rest trip perfect, certainly going bel air look forward seeing friendly faces welcomed,  ",5
"great hotel stay extremely pleased hotel accomodations 4 day trip toronto, hotel conveniently located-a blocks subway steps busses cabs, close cn tower theatres harbor 2 blocks slew restaurants, check-in quick efficient, valet park car luggage room, room lovely, room 19th floor asked floor wanted view view cn tower buildings parking lot high-voltage power, kitchen lovely cabinets/counter tops, provide dishware glassware silverware utensils cookware bakeware want, toaster coffee maker large frig microwave dishwasher sink 2 burner stove complete picture, provide water pitcher salt/pepper coffee/tea packets sugar dish soap dish towels/cloths dishwasher soap scrubbing brush, table sat 4 seats comfortable, shelf items soon enter door-handy putting things need day-like backpack sunglasses keys, entry tiled place kick wet shoes/boots, living area desk phone large swivel rocking chair, couch modern cool, sofa bed 2 decorative pillows, reclining chairs no footrest, chair couch corner good reading lamp use, small coffee table rolling ottoman parked underneath, end table, lighting entire room wonderful, bedding area comfortable king size bed lovely linens, 5 pillows different materials, night stand 3 drawers lamp clock/cd player/ radio combo phone, end table, large windows opens small bit, tv flat screen large paneled swivels bedding area living area, cabinet sits 6 drawers, bath area mirrored closet hangers safe ironing board/iron luggage rack, sink 2 drawers open space toiletries, bathroom good tub adjustable head toilet, marble etc., toiletries provided decent, colors room tan brown navy blue, went provided soothing environment, really enjoyed room.the breakfast complain, food actually good plentiful, getting fast throngs people using great effort, tables needed bussing continuous basis did not, just overwhelmed area needs improve.staff friendly public areas small nice, pool hot tub business center work-out areas small adequate, use business center check email, small store free newspapers buy items 1/4 block street 24 hour market parking not valet parking-we did-and waste money, 30 day ridiculous in/out priveleges park small lot blue jay way 1 block cheaper, ramp hotel cheaper wish checked agreeing valet parking, took bit longer say retrieve car.all great place stay decent aaa rate considering new hotel mid-summer holiday,  ",5
"worst hotel stayed hotel did not live pictures web site, checked july 4 2007 checked 2 hours later, lobby old run room no air conditioner carpet ammenities room 1960 management rude charged day checked thing got, teenagers drinking hotel, hotel dirty not kept, not recommend hotel,  ",1
"not worth stayed 5 nights hotels booked far impressed, room average, bed hard mattress, expensive breakfast featured drinks available small glasses, got re-fill juice times plate gone, worst underwear previous guest clean hope drawer, poor job housekeeping staff, overall hotel not impress, ca n't afford nicer ok better value,  ",2
"real chinese experience loved little hotel, booked basic rooms 4 night stay happy, large room corner courtyard massive bathroom fantastic shower mini fridge tv brilliant aircon.we loved authenticity place helpfulness staff not definetly recommend wanting experince beijing not just bog standard chain hotel,  ",5
"great mattress linens scary disappointing booked hotwire extreme disappointment, pictures travel sites resemble nothing reality hotel, location scary not pay, parked new car security camera hoped worked, outside door lock broken hotel didn__Ç_é_ lot hope working security camera, restaurant closed months looks things not coming, hotel appears badly managed poor repair, doors going guest rooms badly damaged needed painting, hall going fitness room painted walls failed cut ceiling corners, asked desk painted hall told months ago, fitness room old equipment, far better not fitness room guest expecting, lastly room far clean positive note beds linens bath products great, know management not neighborhood surrounds lot money upgrades repairs bring hotel rating gives,  ",2
"amazing personal service not tell impressed level service hotel staff exhibited unexpected night stay, flight chicago seriously delayed having passed w numerous times dallas thought not, love w hotel themes accomodations, got married, bags continued chicago checked immediately explaining situation desk toothpaste toothbrushes hair brushes comb deodorant brought immediately room, not mention upgrade corner room overlooks aa center downtown dallas, junior suite gave complimentary w t-shirts sleep, arranged car service works 6-9 pm 3 mile radius come pick target extras.the pool roof amazing, sort like infinity pool, workout room spacious entire hotel clean, ghost bar atop large complex includes residences.having 3 w numerous starwoods say far favorite, great aaa rate ask member.again say wow w,  ",5
"restaurant plato coral sea hotel bad experience restaurant, salad old food greasy, freind got sick dined, spent night er,  ",1
"place d'armes french quarter gem love unique boutique hotels certainly qualified.we arrived early friday noon allowed check room right away, reserved deluxe room think upgraded room suite separate sitting area, room 4th floor small window louvered roof, meant dark bedroom great slept past 9am time years, staff friendly helpful, location hotel just jackson square quick walk, quiet roomy wonderful new orleans open business, people ready serve, need people come, city largely dependent tourists, ton work rebuild neighborhoods businesses, people committed getting, challenge, enjoy, spend lots money best food accommodations artwork souvenirs, tip people thank working hard preserve united states unique architectural cultural perspective gets, appreciative feel good recovery, renew orleans,  ",4
"overall great hotel background couple early 20 looking away relaxing vacation, travelled sunwing week jan 24-31.rooms overall nice rooms balcony looking ponds bridges, nothing lacking rooms quite spacious, complaint air conditioner worked low setting.grounds place beautiful, landscaping nicest ive seen, plently animals entertain feeding waking morning.food buffet good couple nights gte repetitive, recommend la cartes help changing buffet, excellent lunch snack bar beach good also.service people natura park nice helpful, work hard people rude, doesnt hurt say hi smile back.entertainment low point wasn really thats point going relaxing vacation, night entertainement average nothing special usually skipped it.beach windy day beach lot seaweed isnt beach beautiful, clear beautiful water time walk left piece paradise.tours trip did saona excurison breathtaking beware eat island, bf got sick.overall great trip minor set backs boyfriend got sick resort island food making difficult, hotel not cleanest ive seen 1000 paid got money s worth, not return natura park simple reason not like repeat hotels,  ",3
"over-rated, stayed historic hotel room 355. small air conditioning noise hard sleep, over-all service poor food over-priced not good pool totally unimpressive, fetch food drink no poolside servers, sitting hotel beachchair sand 5:40 pm watching sunset hotel employee told chairs collected 6 pm, protested no avail wife travel extensively quite disappointed, plenty better places stay waikiki,  ",2
"goods declare beware stayed friends princess nights reading reviews prior visiting appeared no middle ground, people loved hated, middle report balanced, thing stood rest hotel not customer focused, certainly not customer focused, moment checked appeared staying hotel reception staff efficient assertive, rooms 4th floor overlooking forum hotel not sea previous correspondent written, good walk beach car parks main roads, construction work industrial complex 1/2 mile away near sea, hotel corner avenue diagonal number 1.the rooms spacious modern open plan, complimentary mini bar soft drinks beer, power shower good blast drains n't cope resulted flooding bathroom area, happened friends room, electronic blinds huge window blinds bathroom bedroom, door rooms privacy, walls not door pete doherty playing early hours morning door forum couple noisy sleepless nights.the events day quite farcical bizzare, door hotel shopping mall host shops supermarkets, purchased water fruit juice potato crisps nibble room, entered hotel stopped receptionist instructed manager stood reception, bag confiscated, highly embarrasing felt like naughty boy headmasters office, customers watching bag taken away room collect departure, not beleive, complained manager stated indicated small sign reception, did say small fee payable wanted extra items room 50 euro, night sign bigger placed lift, reception staff placed guard duty taking bags people came, like going customs declare channel, farsical, confiscated items placed room went collect free, bizarre, people lucky away draconian measures beer wine spirits room staff busy, crazy.we got great rate room expedia correspondents outlined transport systems town barca, price really half quality rooms hotel just years old, did visit hilton diagonal mar street fantastic meal indigo restaurant, food service class, princess manager needs visit say customer grateful allowing princess let stay n't,  ",2
"superb breakfast view ok little biased berlin snow mid-february inspiring superbly located hotel great facilities helpful staff english far better mein deutsche, girlfriend pointed slightly ku'damm 75 metres expensive reflect slight-change area really bargain, hotel little outlay massive bath marble bathroom set large laid-out clean comfortable room.my tips ample buffet breakfast whilst enjoying view 6th floor runs 10 bit lie-in city/ welcome card hotel close stations forms transport trams located west utilising raved location, eagerly use,  ",5
"eh, no didnt like room hotel super small does bathroom, given bad room overlooking dumpster floor, eekk, hated,  ",2
"not return web site hotel mis-leading.we asked ground floor issues stairs, assured ground floor steps, bad, bad, narrow steps narrow steps, impossiable handicap steps hand rail managed, staff kids close 11pm open 9am, room small smelled needed cleaned, bed pillow good sheets clean room warm, bathroom not nice needed cleaned, saw breakfest food cereal coffee fee.we disappointed 3rd class hotel gays, looking decent gay hotel not, try tfor senior couple,  ",1
"n't waste money went young children, enjoyed kid area-pool slides, room cleaned 5:00 pm phone requesting, staff did not speak english, better refurbished room leak bathroom impossible use sink, staff resentful unfriendly, looked right did n't tip, food sick-flys, save money stay home,  ",1
"big disappointment, desperate need major refurbishment hotel let badly poor housekeeping service standards, room 1st level overlooking hickson st. dark dingy tired, room unique architectural features heavy timber beams large steel trusses original conversion historic waterfront warehouse make interesting change not covered 2cms, dust, hotel staff young inexperienced lacking polish expected hotel calibre, stressed overworked unsupervised duration stay.this fantastic establishment considering location heritage mirvac group need act big way make commitment restoring hotel rightful place sydney finest,  ",2
"great hotel complications husband stayed holiday inn week april sightseeing purposes, hotel 5 minutes subway station easily connects major sites berlin, 2 bakeries way subway decent cheap breakfasts.the hotel surroundings quiet problem noise, room small clean maintained entire week, bathroom did bit funny smell did not permeate rest room, non-smoking room no problem residual smoke smells perfume used cover smoke smells stated earlier reviews main complaint major billing issues, booked room online hotel website, brought printout website printout included total price paid, despite hotel insisted charging 10 euros night extra person fee taken account, 4 separate occassions argue staff printout, occassion told correct fixed, lasted shift started problems, problem persisted departure work situation home e-mail, end problem fixed appropriate refund made.outside billing problems thought hotel great value price especially considering close location subway, assume billing problems freak event actually recommend hotel, gave headache try different hotel time,  ",4
"gem hotel chancellor honest websites come accross, read postive trip advisor reviews know, stay real hotel not modernised big chains, know hotel represents excellent value money hotel know small bedrooms bathrooms, know staff polite friendly hotel nice clean, know no a/c know does wrong staff help sort, finally know old building heart historical city exactly expect got stayed nights july booked suite twin room children, rooms small everyhting needed including huge wardrobe suitcases way, bathrooms little dated immaculately clean adequate size excellent shower, nice touches rooms jar sweets candies little yellow duck bathroom bottle wine, cd player rooms bonus wire connect ourt mp3 player, pillow menu great idea, things like make realise staying hotel managers really care comfort guests, enjoyed coffee cookies lobby appreciated help offered asked questions, liked centre town, took good advice gift shop bought pass public transport great value money, yes did hear noises city better sterile envoironment triple glazed air conditioned room, travelled ocean experience sfo offer includes sounds, fortuntate stay quality hotels, say city centre hotel chancellor takes lot beating, loved return sfo stay, say honest website good reviews, chancellor hotel delivers promises nothing nothing,  ",5
"great stay tulipn inn amsterdam west great stay tulip inn amsterdam city west, room large comparable american hotels, comfortable bed clean room, staff polite efficient, simple 30 minute tram ride city center minute walk hoekenes stop 17 tram, location quiet residential area great long day walking amsterdam, recommend hotel stay return amsterdam,  ",4
"ok not great location pretty.majestic colonial punta cana rooms horribly designed, no privacy, jr. suite not accurate, open no partition regular hotel room, bathroom little closet hear bodily noise room, paid dollar accommodation sorely disappointed, food poor best, greasy little taste, reservations unobtainable 2/5 restaurants entire trip, staff nice desk downright rude, did not speak english, good thing speak spanish, prices not included ridiculously high, connections american nothing nightmare, true miracle connections return flight.the camp like atmosphere salsa lesson microphoned loud music pool beach pain.i upset price trip actually went 150.00 promotion special price ended cheapcaribbean.com,  ",3
"not good room experience did not like room got, payed 199 dollars, received corner room, 6 inches room inside room bed dresser entrance way bed, bed facing window, bad feng shui chinese people, bathroom good, terrible room layout, luggage entrance pick wouldnt hit dresser luggage, sleep place especially rate paid, just stayed clarion near airport stayed paid half price received larger room, customer service okay, nothing special,  ",3
"over-booked arrived no room available received pre-paid booking not moved hotel nh chain, appear operate policy over-booking people popular hotels arrive city,  ",1
"cow hollow run down/rude desk stayed cow hollow years, past years really gone hill, service desk horrible, just right rude, ask specific backside room king etc. say honor, time ignored.also street noise increasingly horrible, noise machine did not help time.i looking trip, bad used better job, rooms rundown, desks no lamps bathtubs no stoppers, price good not worth tired exasperated trip,  ",2
"fun lloyd fun different experience, rebuildt prison lots surprises i`ve stayed hotelroom thats like, instanse shower toilet room gigantic yellow box, loved design, yes catches.first good walk central station, rent bike day you`ll fine, walk distance twice day, curse while.the noise rooms disturbing, accidentally walked right neighbour day, doors looked properly hear smell sigarette smoked.nice breakfast buffet pricy, 17,5 euros,  ",3
"best, return trip fs miami proves best better, great facility wonderful staff perfect location away south beach circus, class way,  ",5
"absolutely fabulous absolutely beautiful room, desk chest drawers beautiful carpet bathroom comfy bed, beautiful amsterdam close canal cruises good food, corner room nice view, clean line furniture way carpet, staff lovely especially gentleman helped bags, gave tips map area, coffee tea morning nice overall pleasant weekend,  ",5
"not worth money booked room thinking nice, pool small hot tub warm not hot, rooms needed updated, shower didnt drain, dont forget parking pay, best thing beds comfortable small, overall wasnt impressed,  ",2
"enjoyed stay stayed jayakarta january 08 15 year old daughter rooms pretty ordinary grounds lovely looked pools great really big maintained well.we ate restauraunts couple times enjoyed food said step door heaps places eat nearby cheaper close.breakfast average included package did n't bother much.we great time staff helpful, room facing wall days asked moved room overlooking pool able happen days later porter sent help move.we met different people world contact them.a free mini bus available kuta couple hours beach nightclubs restraunts beach short walk away.all really enjoyed time jayakarta return.there different people different cultures walks life hotel.i figure sleeping room pool people important,  ",4
"tiny rooms near eiffel tower affordable hotel near eiffel tower rue cler pedestrian shopping street, expected rooms small rooms small charmless, stow luggage unpack, rollaway bed 13 year old daughter 4 feet long, difficult room, said desk help friendly hotel located quiet,  ",2
"bad attitude booked room barcelona based raves webpage, figured sacrifice prime location luxury stay, did not room booked, booked double room instead got twin, fixed pushing beds, ok staff rude leave attitude.second so-called attractions hotel closed early maybe open, twice went 23rd floor bar drink enjoy view open hours scheduled open 10.30 20.00.but frustrating staff rude possibly deliberately, twice asked simple directions best way downtown told incomplete wrong information, told tram opposite direction transfer train lines, completely unnecessary metro just corner just n't, note staying unlikely need tram, later asked different person bus direct route going given curt yes giving bus line ended going city, saw staff members giving condescending looks group tourists just having fun.in short location ended ok proximity metro staff unfriendly unaccomodating not recommend staying,  ",1
"loved rio mar just came day vacation rio mar wonderful time, staff friendly quick respond requests, food good little expensive, rooms grounds clean maintained, casino closed renovation did not hear noise construction, traveled children ages 21 16 great time, beach beautiful lounge chairs set, guys enterance east beach set unbrellas, dug deep no matter breezy saw umbrella fly beach, pool consists sections quiet section padded lounge chairs children section padding chairs, not sure section padding did not spend time pool, cat walked pool not fond cats, did rent car rio mar programed gps incorrectly end hours away hotel, called rio mar series calls jose desk lead hotel, jose took personally life saver, hotel programed incorrectly used car run grocery store want leave hotel necessary car.we booked trip expedia received confirmation, got airport kids confirmed reservations did not, no idea happened glad not sign vacation going progress, remember great vacation purchase ticket airport spent hours car trying rio mar, things differently time stay hotel,  ",4
"aware ask questions just word warning weeks november nor water not cariabian no pretty fish no flurishing corals reefs no warm water not clear water, free none motorized activites not free available, check non-motorized activity including snorkeling hour day not experienced n't expect able use sail boats bords, really not unless like drink sleep beach, bored death n't wait leave 10 days, really 3-4 day vacation,  ",2
"fantastic hotel did lot research online looking hotel stay nights venice, trip advisor major influence decision contact hotel la commedia ultimately book junior suite, just returned trip happy chose wonderful hotel, hotel say star deluxe service star tremendously gracious classy professional group gentlemen desk, speak excellent english helpful nice, confirmed dinner reservations arrived tuscany.we stayed couple junior suite deluxe double, rooms quiet clean spacious comfortable, beds firm like bathrooms spotless shower die sure cocktail rooftop bar lobby bartender great guy.i hotel highest recommendation, bravo la commedia,  ",5
"eh, honestly just n't understand fuss hotel, booked room king bed scrounge arrived, grounds nice suppose quite pricey sensible leave property, phoenix city really requires car order parking hotel hard come, conveniences upscale hotels lacking coffee room order room service, room fine gotten similar mainstream chain hotel, admittedly did not advantage spa facilities hotel n't makes great, average hotel exorbitant price,  ",3
"just lovely lovely chilled hotel perfect position, brillant views nice terrace pool staff bring wine poolside bar upstairs n't open, resonably priced get.i barcelona better.will,  ",5
"great experience affinia 50 just returned trip ny stayed affinia 50. pleased experience hotel real gem, reserved bedroom suite king bed, initially got room saw queen bed, called desk told reserved room king bed, told different room 40 minutes room change, given deluxe room 21st floor, best hotel room, huge multiple windows clean nicely appointed, teenage son space, highly recommend hotel especially traveling kids,  ",5
"dirty overpriced hotel just returned 4 nite stay extremely disappointed, upgrade twice executive room 400 nite room adults stand floor time, got ready bed turned covers blood stained sheets dirty pillowcases obviously linens not changed previous tenant, chambermaid balked changing linens job, finally got sheets changed morning bloody bath mat refolded replaced days straight, hotel bar served glass wine lipstick covered sticky obviously dirty wine glass, hotel nice location staff pleasant unhelpful stayed hotel disgustingly filthy unsanitary housekeeping,  ",1
"worst hotel experience 20 years no kidding, arrived airport got bags called hotel free shuttle, told 10 minutes, 20 minutes shuttle bus drove told bus, 20 minutes phone shuttle bus drove said no room, insisted let, rode sitting luggage floor, got hotel man arguing desk clerk given dirty room, standing customers came problems ranging keys did n't work missing toiletries rooms, desk clerk told clerk helping left frustration job 2 weeks running hotel, checked room guess room not cleaned, clerk told no rooms available tried smoking room hotel refused, finally options desk issued sheets towels clean room previous guest, business traveler 20+ years absolutely worst run hotel experienced, holiday inn strip property rights use,  ",1
"room view visit nyc, having read reviews hilton times square decided stay 5 nights 31.12.04. requested room view, forget opening door glistened city lights, 37th floor empire state building hudson river, rooms spacious tastefully decorated comfortable beds sleep, not fault security inside outside hotel, staff extremely conscientious ensure staying hotel allowed, definitely recommend staying new york certainly lives,  ",5
"low budget dump, place dump, stayed 2 nights june, start room tiny air conditioner broken shower broken telephone broken room old run, asked moved room said, night moved newer hotel no better, stay recommend hotel,  ",1
"lcation good 1 word awful hotel terrible service no room service shower stinks child not fit personel nasty 3 weeks not receive package mail forgotten expense good thing location close foot sights 2 minute walk train station,  ",1
"good bargain hotel great little neighborhood seattle city center space needle key arena 5 minutes downtown, free shuttle materialized promised location near monorail seattle excellent bus, not luxurious definition lovely old building clean quiet rooms kitchenettes like extended stay hotel, staff courteous helpful, parking 10/night onstreet parking free weekends plentiful no events going arena, recommend inn looking safe central location bargain price,  ",3
